127.0.0.1 - - [18/Jul/2023:15:08:52 +0300] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:08:57 +0300] "GET /basic-webapp/adminpanel/kullaniciyukle.jsp HTTP/1.1" 500 12400
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:15:41 +0300] "GET /basic-webapp/adminpanel/kullaniciyukle.jsp HTTP/1.1" 200 35172
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:15:41 +0300] "GET /basic-webapp/adminpanel/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 200 58582
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:15:41 +0300] "GET /basic-webapp/adminpanel/plugins/tempusdominus-bootstrap-4/css/tempusdominus-bootstrap-4.min.css HTTP/1.1" 200 9270
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:15:41 +0300] "GET /basic-webapp/adminpanel/plugins/icheck-bootstrap/icheck-bootstrap.min.css HTTP/1.1" 200 12505
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:15:41 +0300] "GET /basic-webapp/adminpanel/plugins/jqvmap/jqvmap.min.css HTTP/1.1" 200 614
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:15:41 +0300] "GET /basic-webapp/adminpanel/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 200 19736
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:15:41 +0300] "GET /basic-webapp/adminpanel/dist/css/adminlte.min.css HTTP/1.1" 200 689685
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:15:41 +0300] "GET /basic-webapp/adminpanel/plugins/summernote/summernote-bs4.css HTTP/1.1" 200 20338
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:15:41 +0300] "GET /basic-webapp/adminpanel/plugins/daterangepicker/daterangepicker.css HTTP/1.1" 200 8069
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:15:41 +0300] "GET /basic-webapp/adminpanel/plugins/jquery/jquery.min.js HTTP/1.1" 200 88147
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:15:41 +0300] "GET /basic-webapp/adminpanel/plugins/jquery-ui/jquery-ui.min.js HTTP/1.1" 200 253681
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:15:41 +0300] "GET /basic-webapp/adminpanel/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 80704
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:15:41 +0300] "GET /basic-webapp/adminpanel/plugins/sparklines/sparkline.js HTTP/1.1" 200 7219
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:15:41 +0300] "GET /basic-webapp/adminpanel/plugins/jqvmap/jquery.vmap.min.js HTTP/1.1" 200 21159
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:15:41 +0300] "GET /basic-webapp/adminpanel/plugins/jqvmap/maps/jquery.vmap.usa.js HTTP/1.1" 200 47714
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:15:41 +0300] "GET /basic-webapp/adminpanel/plugins/jquery-knob/jquery.knob.min.js HTTP/1.1" 200 10804
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:15:41 +0300] "GET /basic-webapp/adminpanel/plugins/moment/moment.min.js HTTP/1.1" 200 53324
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:15:41 +0300] "GET /basic-webapp/adminpanel/plugins/summernote/summernote-bs4.min.js HTTP/1.1" 200 148746
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:15:41 +0300] "GET /basic-webapp/adminpanel/plugins/daterangepicker/daterangepicker.js HTTP/1.1" 200 67268
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:15:41 +0300] "GET /basic-webapp/adminpanel/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 200 42395
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:15:41 +0300] "GET /basic-webapp/adminpanel/dist/js/adminlte.js HTTP/1.1" 200 59778
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:15:41 +0300] "GET /basic-webapp/adminpanel/dist/js/pages/dashboard.js HTTP/1.1" 200 7841
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:15:41 +0300] "GET /basic-webapp/adminpanel/dist/js/demo.js HTTP/1.1" 200 13042
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:15:41 +0300] "GET /plugins/inputmask/min/jquery.inputmask.bundle.min.js HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:15:41 +0300] "GET /basic-webapp/adminpanel/1111.png HTTP/1.1" 200 27492
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:15:41 +0300] "GET /basic-webapp/adminpanel/plugins/chart.js/Chart.min.js HTTP/1.1" 200 172819
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:15:41 +0300] "GET /basic-webapp/adminpanel/plugins/tempusdominus-bootstrap-4/js/tempusdominus-bootstrap-4.min.js HTTP/1.1" 200 56885
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:15:41 +0300] "GET /basic-webapp/adminpanel/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 79444
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:18:58 +0300] "GET /basic-webapp/adminpanel/kullaniciyukle.jsp HTTP/1.1" 200 35162
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:18:58 +0300] "GET /basic-webapp/adminpanel/plugins/tempusdominus-bootstrap-4/css/tempusdominus-bootstrap-4.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:18:58 +0300] "GET /basic-webapp/adminpanel/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:18:58 +0300] "GET /basic-webapp/adminpanel/plugins/icheck-bootstrap/icheck-bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:18:58 +0300] "GET /basic-webapp/adminpanel/plugins/jqvmap/jqvmap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:18:58 +0300] "GET /basic-webapp/adminpanel/dist/css/adminlte.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:18:58 +0300] "GET /basic-webapp/adminpanel/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:18:58 +0300] "GET /basic-webapp/adminpanel/plugins/daterangepicker/daterangepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:18:58 +0300] "GET /basic-webapp/adminpanel/plugins/summernote/summernote-bs4.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:18:58 +0300] "GET /basic-webapp/adminpanel/plugins/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:18:58 +0300] "GET /basic-webapp/adminpanel/plugins/jquery-ui/jquery-ui.min.js HTTP/1.1" 304 -
